DATE_TIME,AC_POWER,DC_POWER
03-01-2020 16:00,26.6711,27.216154
03-01-2020 16:15,20.65047,21.10836
03-01-2020 16:30,15.2724,15.67806
03-01-2020 16:45,9.76073,10.051026
03-01-2020 17:00,7.19294,7.4104
03-01-2020 17:15,5.1717,5.3263066
03-01-2020 17:30,2.65397,2.7308132
03-01-2020 17:45,0.52903,0.5410467
03-01-2020 18:00,0.08546,0.08546154
04-01-2020 06:30,0.00137,0.001371429
04-01-2020 06:45,0.38299,0.39055334
04-01-2020 07:00,2.18268,2.2449067
04-01-2020 07:15,3.27331,3.3693267
04-01-2020 07:30,5.15027,5.304453
04-01-2020 07:45,9.44819,9.7027
04-01-2020 08:00,13.57674,13.868313
04-01-2020 08:15,22.59684,22.997887
04-01-2020 08:30,27.64001,28.11534
04-01-2020 08:45,34.60937,35.195895
04-01-2020 09:00,42.43181,43.142086
04-01-2020 09:15,49.29427,50.12398
04-01-2020 09:30,55.12946,56.060727
04-01-2020 09:45,59.98781,61.02035
04-01-2020 10:00,64.69449,65.83849
04-01-2020 10:15,69.46156,70.72882
04-01-2020 10:30,65.90836,67.141734
04-01-2020 10:45,60.42778,61.589734
04-01-2020 11:00,76.91542,78.366836
04-01-2020 11:15,70.36178,71.7212
04-01-2020 11:30,66.47165,67.755055
04-01-2020 11:45,75.9348,77.349445
04-01-2020 12:00,70.14711,71.51527
04-01-2020 12:15,76.52269,78.08496
04-01-2020 12:30,89.92551,91.72295
04-01-2020 12:45,67.79045,69.18554
04-01-2020 13:00,79.33115,80.90268
04-01-2020 13:15,82.67968,84.254234
04-01-2020 13:30,68.42809,69.676
04-01-2020 13:45,34.93396,35.66217
04-01-2020 14:00,39.35459,40.161465
04-01-2020 14:15,38.10671,38.8818
04-01-2020 14:30,58.38368,59.45712
04-01-2020 14:45,63.70871,64.86732
04-01-2020 15:00,56.35159,57.377867
04-01-2020 15:15,50.23087,51.13422
04-01-2020 15:30,29.66791,30.28778
04-01-2020 15:45,23.05629,23.57222
04-01-2020 16:00,23.27344,23.762074
04-01-2020 16:15,20.88477,21.36796
04-01-2020 16:30,14.21427,14.62216
04-01-2020 16:45,8.66854,8.93128
04-01-2020 17:00,4.43199,4.5641
04-01-2020 17:15,4.03977,4.15944
04-01-2020 17:30,1.90702,1.9608733
04-01-2020 17:45,0.45497,0.46505334
04-01-2020 18:00,0,0
05-01-2020 06:15,0,0
05-01-2020 06:30,0,0
05-01-2020 06:45,0,0
05-01-2020 07:00,0,0
05-01-2020 07:15,0,0
05-01-2020 07:30,0,0
05-01-2020 07:45,0,0
05-01-2020 08:00,5.14015,5.2947534
05-01-2020 08:15,6.67792,6.8767134
05-01-2020 08:30,9.43961,9.670793
05-01-2020 08:45,10.02373,10.26242
05-01-2020 09:00,13.80871,14.078047
05-01-2020 09:15,13.15143,13.436993
05-01-2020 09:30,14.54205,14.8293
05-01-2020 09:45,12.60239,12.894446
05-01-2020 10:00,5.60176,5.7696064
05-01-2020 10:15,3.74588,3.85654
05-01-2020 10:30,5.78073,5.9552866
05-01-2020 10:45,5.69,5.8612334
05-01-2020 11:00,7.75021,7.970607
05-01-2020 11:15,13.31289,13.57574
05-01-2020 11:30,15.95471,16.250399
05-01-2020 11:45,13.12583,13.40622
05-01-2020 12:00,16.35331,16.647121
05-01-2020 12:15,16.99107,17.29956
05-01-2020 12:30,19.61665,19.9368
05-01-2020 12:45,15.64033,15.957394
05-01-2020 13:00,10.40638,10.678587
05-01-2020 13:15,7.74833,7.9761465
05-01-2020 13:30,5.53232,5.6983335
05-01-2020 13:45,6.61219,6.8117134
05-01-2020 14:00,6.04252,6.223533
05-01-2020 14:15,7.21682,7.43488
05-01-2020 14:30,7.08924,7.2992
05-01-2020 14:45,9.69975,9.930014
05-01-2020 15:00,13.50476,13.78228
05-01-2020 15:15,5.65669,5.8266333
05-01-2020 15:30,3.92591,4.04256
05-01-2020 15:45,6.18605,6.372373
05-01-2020 16:00,8.29151,8.520233
05-01-2020 16:15,8.05189,8.278573
05-01-2020 16:30,5.18235,5.337993
05-01-2020 16:45,2.81724,2.8990732
05-01-2020 17:00,1.97805,2.03474
05-01-2020 17:15,0.55172,0.5643933
05-01-2020 17:30,0.21551,0.21551334
05-01-2020 17:45,0.13547,0.13546666
05-01-2020 18:00,0,0
06-01-2020 06:15,0,0
06-01-2020 06:30,0.02114,0.02114
06-01-2020 06:45,0.34204,0.34802667
06-01-2020 07:00,1.99931,2.0562
06-01-2020 07:15,4.06369,4.1837935
06-01-2020 07:30,5.89516,6.07246
06-01-2020 07:45,7.40926,7.634467
06-01-2020 08:00,7.15951,7.3673135
06-01-2020 08:15,11.90241,12.1733
06-01-2020 08:30,14.40961,14.715566
06-01-2020 08:45,20.13184,20.504613
06-01-2020 09:00,21.59312,21.988514
06-01-2020 09:15,23.03226,23.438834
06-01-2020 09:30,27.04111,27.499652
06-01-2020 09:45,34.45287,35.02833
06-01-2020 10:00,37.9238,38.55744
06-01-2020 10:15,39.28898,39.955332
06-01-2020 10:30,41.94202,42.636926
06-01-2020 10:45,39.75021,40.451387
06-01-2020 11:00,41.73768,42.45953
06-01-2020 11:15,59.63991,60.68164
06-01-2020 11:30,67.12404,68.3742
06-01-2020 11:45,64.9387,66.15597
06-01-2020 12:00,37.66109,38.435832
06-01-2020 12:15,17.37703,17.845293
06-01-2020 12:30,22.23083,22.693586
06-01-2020 12:45,37.58447,38.32116
06-01-2020 13:00,25.45951,25.971707
06-01-2020 13:15,60.40624,61.53799
06-01-2020 13:30,56.61606,57.696746
06-01-2020 13:45,39.78104,40.57601
06-01-2020 14:00,34.62059,35.26778
06-01-2020 14:15,21.43159,21.937387
06-01-2020 14:30,16.44535,16.874193
06-01-2020 14:45,13.78093,14.16956
06-01-2020 15:00,14.58229,14.959406
06-01-2020 15:15,9.90384,10.204854
06-01-2020 15:30,6.07617,6.259993
06-01-2020 15:45,3.86497,3.97982
06-01-2020 16:00,3.00748,3.0973867
06-01-2020 16:15,2.44262,2.5128599
06-01-2020 16:30,2.83887,2.9210334
06-01-2020 16:45,1.58241,1.6262333
06-01-2020 17:00,1.1887,1.2201866
06-01-2020 17:15,1.53768,1.57954
06-01-2020 17:30,0.87046,0.89125336
06-01-2020 17:45,0.11087,0.11087334
06-01-2020 18:00,0.00714,0.007142857
07-01-2020 06:30,0.06106,0.06107857
07-01-2020 06:45,1.45481,1.4949734
07-01-2020 07:00,1.76748,1.8178733
07-01-2020 07:15,3.45871,3.5607666
07-01-2020 07:30,1.8131,1.86388
07-01-2020 07:45,1.99587,2.05234
07-01-2020 08:00,3.83146,3.9450332
07-01-2020 08:15,4.90762,5.05456
07-01-2020 08:30,5.65101,5.8124736
07-01-2020 08:45,6.87769,7.0606533
07-01-2020 09:00,13.29281,13.605767
07-01-2020 09:15,10.53491,10.798493
07-01-2020 09:30,19.58376,19.93286
07-01-2020 09:45,29.83591,30.31722
07-01-2020 10:00,43.61704,44.377426
07-01-2020 10:15,39.1601,39.903074
07-01-2020 10:30,34.47141,35.14501
07-01-2020 10:45,62.36054,63.538094
07-01-2020 11:00,86.73456,88.41789
07-01-2020 11:15,37.74091,38.484062
07-01-2020 11:30,49.62664,50.569633
07-01-2020 11:45,39.46005,40.22119
07-01-2020 12:00,54.12049,55.14049
07-01-2020 12:15,64.80283,66.04429
07-01-2020 12:30,65.52813,66.7978
07-01-2020 12:45,45.96313,46.853
07-01-2020 13:00,50.95979,51.898812
07-01-2020 13:15,45.05421,45.92738
07-01-2020 13:30,43.09755,43.93599
07-01-2020 13:45,63.89887,65.10379
07-01-2020 14:00,86.91654,88.60978
07-01-2020 14:15,70.70545,72.11322
07-01-2020 14:30,55.93922,57.02562
07-01-2020 14:45,51.67201,52.65598
07-01-2020 15:00,25.52727,26.113033
07-01-2020 15:15,31.20507,31.805188
07-01-2020 15:30,33.18529,33.81754
07-01-2020 15:45,29.59713,30.17694
07-01-2020 16:00,30.40449,30.980732
07-01-2020 16:15,20.11873,20.583613
07-01-2020 16:30,15.13797,15.517873
07-01-2020 16:45,9.95937,10.25692
07-01-2020 17:00,7.2253,7.444007
07-01-2020 17:15,4.97657,5.1257065
07-01-2020 17:30,2.80857,2.8903333
07-01-2020 17:45,0.69135,0.70768
07-01-2020 18:00,0.07321,0.073207146
08-01-2020 06:15,0,0
08-01-2020 06:30,0.17437,0.17602667
08-01-2020 06:45,1.2899,1.3254933
08-01-2020 07:00,3.63415,3.7414268
08-01-2020 07:15,6.60089,6.785973
08-01-2020 07:30,9.64425,9.858413
08-01-2020 07:45,13.57044,13.826533
08-01-2020 08:00,19.1146,19.454787
08-01-2020 08:15,23.80576,24.215566
08-01-2020 08:30,29.04041,29.52052
08-01-2020 08:45,35.73169,36.323285
08-01-2020 09:00,44.33719,45.06394
08-01-2020 09:15,52.93706,53.8157
08-01-2020 09:30,49.43488,50.30867
08-01-2020 09:45,61.7906,62.92242
08-01-2020 10:00,28.10757,28.69558
08-01-2020 10:15,27.53703,28.081066
08-01-2020 10:30,51.64707,52.599598
08-01-2020 10:45,93.94249,95.80743
08-01-2020 11:00,87.80662,89.5536
08-01-2020 11:15,72.61787,74.09365
08-01-2020 11:30,90.68721,92.55126
08-01-2020 11:45,72.2947,73.77044
08-01-2020 12:00,49.10934,50.116867
08-01-2020 12:15,90.36209,92.20224
08-01-2020 12:30,88.89933,90.67116
08-01-2020 12:45,73.96557,75.47111
08-01-2020 13:00,91.84852,93.695734
08-01-2020 13:15,75.1517,76.67407
08-01-2020 13:30,85.19895,86.89783
08-01-2020 13:45,86.9308,88.70648
08-01-2020 14:00,84.0138,85.72701
08-01-2020 14:15,80.82973,82.45253
08-01-2020 14:30,77.45723,79.027516
08-01-2020 14:45,56.74935,57.905555
08-01-2020 15:00,35.45282,36.17019
08-01-2020 15:15,27.23727,27.834246
08-01-2020 15:30,53.11636,54.06902
08-01-2020 15:45,46.46423,47.3133
08-01-2020 16:00,34.49995,35.17346
08-01-2020 16:15,24.09932,24.628793
08-01-2020 16:30,18.03375,18.493973
08-01-2020 16:45,11.48273,11.814347
08-01-2020 17:00,7.20911,7.4268066
08-01-2020 17:15,4.87863,5.024467
08-01-2020 17:30,2.68407,2.7619734
08-01-2020 17:45,0.92875,0.9528333
08-01-2020 18:00,0.11083,0.11088
08-01-2020 18:15,0,0
09-01-2020 06:15,0.06946,0.0694625
09-01-2020 06:30,0.22183,0.22654
09-01-2020 06:45,1.58083,1.6251134
09-01-2020 07:00,3.95713,4.0741067
09-01-2020 07:15,5.78583,5.9592266
09-01-2020 07:30,8.11723,8.31956
09-01-2020 07:45,11.76503,11.992813
09-01-2020 08:00,16.99663,17.302486
09-01-2020 08:15,21.7031,22.079334
09-01-2020 08:30,26.21891,26.65388
09-01-2020 08:45,32.78585,33.321727
09-01-2020 09:00,42.40847,43.08748
09-01-2020 09:15,48.59654,49.39285
09-01-2020 09:30,56.83532,57.780332
09-01-2020 09:45,62.62627,63.6958
09-01-2020 10:00,67.14005,68.29173
09-01-2020 10:15,70.84409,72.09025
09-01-2020 10:30,74.10024,75.42594
09-01-2020 10:45,79.29624,80.76942
09-01-2020 11:00,81.52449,83.05938
09-01-2020 11:15,83.80123,85.40416
09-01-2020 11:30,84.61046,86.24826
09-01-2020 11:45,84.31333,85.94648
09-01-2020 12:00,82.28683,83.82746
